,Medical School,Average GPA,Average MCAT Score
0,A.T. Still University,3.45,505
1,A.T. Still University of Health Sciences Kirksville College of Osteopathic Medicine,3.69,504
2,Alabama College of Osteopathic Medicine,3.45,504
3,Albany Medical College,3.6,511
4,Albert Einstein College of Medicine,3.82,516
5,Arizona College of Osteopathic Medicine of Midwestern University,3.53,507
6,Arkansas College of Osteopathic Medicine,3.5,500
7,Baylor College of Medicine,3.92,518
8,Boston University School of Medicine,3.72,517
9,Brown University The Warren Alpert Medical School,3.83,516
10,Burrell College of Osteopathic Medicine at New Mexico State University,3.54,504.19
11,California Health Sciences University College of Osteopathic Medicine,3.5,507.4
12,California Northstate University College of Medicine,3.6,511
13,California University of Science and Medicine,3.59,513
14,Campbell University Jerry M. Wallace School of Osteopathic Medicine,3.6,505
15,Carle Illinois College of Medicine,3.73,513
16,Case Western Reserve University School of Medicine,3.78,518
17,Central Michigan University College of Medicine,3.69,508
18,Chicago College of Osteopathic Medicine of Midwestern University,3.63,510
19,Chicago Medical School at Rosalind Franklin University of Medicine and Science,3.69,511
20,Columbia University College of Physicians and Surgeons,3.93,521
21,Cooper Medical School of Rowan University,3.77,511
22,Creighton University School of Medicine,3.83,513
23,Des Moines University College of Osteopathic Medicine,3.57,509
24,Drexel University College of Medicine,3.57,511
25,Duke University School of Medicine,3.9,519
26,East Carolina University Brody School of Medicine,3.54,506
27,East Tennessee State University Quillen College of Medicine,3.75,510
28,Eastern Virginia Medical School,3.5,511
29,Edward Via College of Osteopathic Medicine (Auburn Campus),3.7,502
30,Edward Via College of Osteopathic Medicine (Carolinas Campus),3.7,502
31,Edward Via College of Osteopathic Medicine (Louisiana Campus),3.7,502
32,Edward Via College of Osteopathic Medicine (Virginia Campus),3.7,502
33,Emory University School of Medicine,3.7,514
34,Florida Atlantic University Charles E. Schmidt College of Medicine,3.79,513
35,Florida International University Herbert Wertheim College of Medicine,3.7,509
36,Florida State University College of Medicine,3.8,507
37,Geisel School of Medicine at Dartmouth,3.77,516
38,Geisinger Commonwealth School of Medicine,3.72,511.6
39,George Washington University School of Medicine and Health Sciences,3.7,512
40,Georgetown University School of Medicine,3.63,512
