,State,Community College,count,Country
0,Alabama,1.0,2,USA
1,Arizona,1.0,2,USA
2,Arkansas,1.0,1,USA
3,British Columbia,1.0,1,Canada
4,California,1.0,8,USA
5,Connecticut,1.0,1,USA
7,District of Columbia,1.0,2,USA
10,Florida,1.0,6,USA
11,Georgia,1.0,2,USA
12,Hawaii,1.0,1,USA
15,Illinois,1.0,4,USA
16,Indiana,1.0,1,USA
17,Iowa,1.0,1,USA
18,Kansas,1.0,1,USA
19,Kentucky,1.0,1,USA
21,Louisiana,1.0,2,USA
23,Maryland,1.0,3,USA
24,Massachusetts,1.0,2,USA
25,Michigan,1.0,4,USA
26,Minnesota,1.0,1,USA
28,Missouri,1.0,1,USA
29,Nebraska,1.0,2,USA
30,Nevada,1.0,3,USA
31,New Hampshire,1.0,1,USA
33,New Jersey,1.0,2,USA
36,New York,1.0,6,USA
38,North Carolina,1.0,2,USA
39,North Dakota,1.0,1,USA
41,Ohio,1.0,4,USA
42,Oklahoma,1.0,1,USA
45,Pennsylvania,1.0,6,USA
47,Puerto Rico,1.0,1,Puerto Rico
48,Quebec,1.0,1,Canada
49,Rhode Island,1.0,1,USA
51,South Carolina,1.0,2,USA
52,South Dakota,1.0,1,USA
54,Tennessee,1.0,2,USA
56,Texas,1.0,10,USA
59,Virginia,1.0,3,USA
60,Washington,1.0,1,USA
61,West Virginia,1.0,2,USA
62,Wisconsin,1.0,2,USA
