,State,Medical School,Course,Class,Required or Recommended?,Additional Info,Credit Hours,Lab?,Pass/Fail,AP Credit,Online Course,Community College
0,Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,Anthropology,BESS,Required,Anthropology or any of the Behavioral and Social Sciences courses will be accepted.  Applicants should have 3 semester hours in the Social Sciences and 3 semester hours in the Behavioral Sciences.,6.0,-1,0,0.0,1.0,1.0
1,Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,Biochemistry,BCHM,Recommended,Biochemistry may take the place of Organic Chemistry II.,,1,0,-1.0,0.0,1.0
2,Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,Biology,BIOL,Required,,8.0,1,0,0.0,0.0,1.0
3,Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,Chemistry,CHEM,Required,General Chemistry,8.0,1,0,0.0,0.0,1.0
4,Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,Composition & Rhetoric,ENGL,Required,English Literature may be used in place of a portion or all of English Composition.,6.0,-1,0,0.0,1.0,1.0
5,Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,Literature,ENGL,Required,English Composition may be used in place of a portion or all of English Literature.,6.0,-1,0,0.0,1.0,1.0
6,Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,Mathematics,MATH,Required,Calculus is preferred.,6.0,-1,0,0.0,1.0,1.0
7,Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,Physics,PHYS,Required,,8.0,1,0,0.0,0.0,1.0
8,Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,Statistics,STAT,Recommended,,,-1,0,0.0,1.0,1.0
9,Alabama,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,Biochemistry,BCHM,Required,,3.0,-1,-1,1.0,1.0,1.0
10,Alabama,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,Biology,BIOL,Required,General Biology - Applicants awarded AP or CLEP credit for biology are expected to complete 8 hours of additional advanced biology coursework.,8.0,1,-1,1.0,0.0,1.0
11,Alabama,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,Biostatistics,STAT,Required,3 semester hours of biostatistics or statistics OR 6 semester hours of college math.  Applicants awarded AP or CLEP credit for statistics or college mathematics are expected to complete a college level biostatistics course to meet the requirement.,3.0,-1,-1,1.0,1.0,1.0
12,Alabama,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,Composition & Rhetoric,ENGL,Required,"Complete at least 6 semester hours of college level English, writing composition, or writing intensive coursework.",6.0,-1,-1,1.0,1.0,1.0
13,Alabama,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,Physics,PHYS,Required,,8.0,1,-1,1.0,1.0,1.0
14,Alabama,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,Psychology,PSYC,Required,"Any behavioral or social science coursework that addresses the biological, psychological, and/or sociocultural factors that influence perceptions, behaviors, interactions and well-being will be accepted.",3.0,-1,-1,1.0,1.0,1.0
15,Arkansas,Alice L. Walton School of Medicine,Biochemistry,BCHM,Recommended,"We require 24 hours of math and science course work, but recommend biochemistry course work with a lab component. It is anticipated that applicants will have completed some of the recommended upper division courses.",,-1,1,-1.0,1.0,1.0
