,State,Country,ratio
0,Alabama,USA,0.5
1,Arizona,USA,1.0
2,Arkansas,USA,1.0
3,British Columbia,Canada,1.0
4,California,USA,0.75
5,District of Columbia,USA,0.6666666666666666
6,Florida,USA,0.625
7,Georgia,USA,1.0
8,Hawaii,USA,1.0
9,Illinois,USA,0.16666666666666666
10,Iowa,USA,1.0
11,Kansas,USA,1.0
12,Kentucky,USA,1.0
13,Louisiana,USA,0.6666666666666666
14,Manitoba,Canada,1.0
15,Maryland,USA,1.0
16,Massachusetts,USA,0.5
17,Michigan,USA,1.0
18,Minnesota,USA,1.0
19,Missouri,USA,1.0
20,Nebraska,USA,1.0
21,Nevada,USA,1.0
22,New Hampshire,USA,1.0
23,New Jersey,USA,0.5
24,New York,USA,0.1111111111111111
25,North Carolina,USA,0.25
26,North Dakota,USA,1.0
27,Ohio,USA,0.6
28,Oklahoma,USA,1.0
29,Pennsylvania,USA,0.375
30,Quebec,Canada,1.0
31,South Carolina,USA,0.3333333333333333
32,South Dakota,USA,1.0
33,Tennessee,USA,0.6666666666666666
34,Texas,USA,0.75
35,Vermont,USA,1.0
36,Virginia,USA,0.5
37,Washington,USA,1.0
38,West Virginia,USA,0.5
39,Wisconsin,USA,0.5
