,State,Online Course,count,Country
1,Alabama,1.0,1,USA
2,Arizona,1.0,2,USA
3,Arkansas,1.0,1,USA
4,British Columbia,1.0,1,Canada
7,California,1.0,6,USA
10,District of Columbia,1.0,2,USA
13,Florida,1.0,5,USA
14,Georgia,1.0,2,USA
15,Hawaii,1.0,1,USA
17,Illinois,1.0,1,USA
19,Iowa,1.0,1,USA
20,Kansas,1.0,1,USA
21,Kentucky,1.0,1,USA
23,Louisiana,1.0,2,USA
24,Manitoba,1.0,1,Canada
25,Maryland,1.0,3,USA
27,Massachusetts,1.0,1,USA
28,Michigan,1.0,4,USA
29,Minnesota,1.0,1,USA
31,Missouri,1.0,1,USA
32,Nebraska,1.0,2,USA
33,Nevada,1.0,3,USA
34,New Hampshire,1.0,1,USA
36,New Jersey,1.0,2,USA
40,New York,1.0,1,USA
43,North Carolina,1.0,1,USA
44,North Dakota,1.0,1,USA
47,Ohio,1.0,3,USA
48,Oklahoma,1.0,1,USA
52,Pennsylvania,1.0,3,USA
54,Quebec,1.0,1,Canada
57,South Carolina,1.0,1,USA
58,South Dakota,1.0,1,USA
60,Tennessee,1.0,2,USA
63,Texas,1.0,9,USA
64,Vermont,1.0,1,USA
66,Virginia,1.0,2,USA
67,Washington,1.0,1,USA
69,West Virginia,1.0,1,USA
71,Wisconsin,1.0,1,USA
