,Course,count
0,Biology,154
1,Chemistry,146
2,Physics,142
3,Biochemistry,128
4,Psychology,67
5,Composition & Rhetoric,65
6,Statistics,60
7,Mathematics,60
8,Sociology,51
9,Genetics,41
10,Literature,29
11,Physiology,28
12,Cell Biology,25
13,Anatomy,23
14,Microbiology,20
15,Physical Chemistry,19
16,Organic Chemistry,14
17,Anthropology,13
18,Immunology,13
19,Biostatistics,12
20,Zoology,11
21,Molecular Biology,11
22,Creative Writing,7
23,Inorganic Chemistry,6
24,Economics,5
25,Histology,5
26,Neuroscience,4
27,Calculus,3
28,Applied Mathematics,2
29,Botany,2
30,Human Anatomy,1
31,Family Studies,1
32,Ecology,1
33,Thermodynamics,1
